Vor,5000,8,,,,,,,,,
destination,gray,osp_c,osp_f,osp_d,osp_s,dsp_f,dsp_d,dsp_s,gsp_f,gsp_d,gsp_s
Cap,100,29.7,0,3.94,66.36,0.3,31.52,68.18,70.3,27.58,2.12
,,,,,,,,,,,
Vor,2500,4,,,,,,,,,
destination,gray,osp_c,osp_f,osp_d,osp_s,dsp_f,dsp_d,dsp_s,gsp_f,gsp_d,gsp_s
Sol,54.5,66.11,0,1.11,32.78,1.11,66.11,32.78,70.56,29.44,0
Ali,90.9,42.33,0,0,57.67,4,38.33,57.67,76.67,23.33,0
Cor,100,27.88,0,0,72.12,3.03,25.15,71.82,76.06,23.94,0
Cala,100,47.27,0,0,52.73,6.67,40.3,53.03,78.48,20,1.52
Calv,81.8,68.15,0,0.37,31.48,6.67,61.48,31.85,70.37,27.78,1.85
Ile,90.9,41.33,0,0,58.67,5.33,35.67,59,70.67,25.33,4
Pie,100,23.64,0,0,76.36,0.3,23.33,76.36,78.79,13.33,7.88
Bas,100,39.09,0,0.3,60.61,4.55,34.85,60.61,76.97,23.03,0
San,90.9,18.67,0,0.67,80.67,1,17.33,81.67,76,18.67,5.33
Ole,100,26.97,0,0,73.03,0.61,26.06,73.33,76.36,9.09,14.55
Cag,90.9,54.33,0,0.33,45.33,7.67,47,45.33,75.33,23,1.67
Cap,72.7,74.58,0,0,25.42,18.33,55.42,26.25,81.25,18.75,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Del,5000,4,,,,,,,,,
destination,gray,osp_c,osp_f,osp_d,osp_s,dsp_f,dsp_d,dsp_s,gsp_f,gsp_d,gsp_s
Sol,100,21.52,0,3.64,74.85,0,22.42,77.58,35.45,64.24,0.3
Ali,100,3.94,0,1.21,94.85,0,3.94,96.06,35.15,60.91,3.94
Cor,81.8,3.33,0,0,96.67,0,2.59,97.41,45.93,44.81,9.26
Cala,81.8,2.22,0,0.37,97.41,0,2.59,97.41,71.48,24.44,4.07
Calv,90.9,10.33,0,1.67,88,0,11,89,45.33,46.67,8
Ile,72.7,3.33,0,0.42,96.25,0,7.08,92.92,51.67,38.75,9.58
Pie,54.5,0,0,0,100,0,0,100,50,20,30
Bas,81.8,1.48,0,0.37,98.15,0,1.11,98.89,56.67,22.59,20.74
San,63.6,0,0,0.48,99.52,0,0.48,99.52,60.95,10.95,28.1
Ole,63.6,0.48,0,0.48,99.05,0,0.48,99.52,62.38,20.48,17.14
Cag,81.8,12.96,0,0.74,86.3,0,12.96,87.04,49.63,41.48,8.89
Cap,90.9,19.33,0,2.33,78.33,0,20.67,79.33,46.67,41,12.33
,,,,,,,,,,,
,,,,,,,,,,,
Del,2500,4,,,,,,,,,
destination,gray,osp_c,osp_f,osp_d,osp_s,dsp_f,dsp_d,dsp_s,gsp_f,gsp_d,gsp_s
Sol,45.5,76.67,0,1.33,22,4,66.67,29.33,40.67,58.67,0.67
Ali,100,55.15,0,0.3,44.55,5.15,50,44.85,56.06,42.73,1.21
Cor,90.9,34.67,0,0.33,65,4.33,30.67,65,60.33,39.67,0
Cala,90.9,32.67,0,0.67,66.67,2.33,31,66.67,60,39,1
Calv,90.9,54.33,0,0.33,45.33,6.67,48,45.33,59,36.67,4.33
Ile,90.9,28.33,0,1,70.67,1.33,27.67,71,60.33,34.33,5.33
Pie,90.9,30,0,0,70,0,30,70,76.67,5.67,17.67
Bas,90.9,33.33,0,0.33,66.33,1.67,32,66.33,68.33,19.67,12
San,72.7,19.58,0,1.25,79.17,0,20.83,79.17,76.67,17.92,5.42
Ole,72.7,16.67,0,0.42,82.92,0,17.08,82.92,82.92,5.83,11.25
Cag,90.9,50,0,0.67,49.33,4.33,46.33,49.33,72.33,18.33,9.33
Cap,90.9,71.33,0,1,27.67,13.33,58.67,28,58.67,32.33,9
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Hyb,5000,4,,,,,,,,,
destination,gray,osp_c,osp_f,osp_d,osp_s,dsp_f,dsp_d,dsp_s,gsp_f,gsp_d,gsp_s
Sol,100,15.45,0,0.91,83.64,0,16.06,83.94,41.21,56.97,1.82
Ali,100,0,0,0.61,99.39,0,0,100,45.45,38.18,16.36
Cor,81.8,0,0,0.37,99.63,0,0,100,56.3,21.85,21.85
Cala,81.8,0,0,0,100,0,0,100,56.67,25.56,17.78
Calv,90.9,1,0,0.67,98.33,0,1.33,98.67,39.33,60,0.67
Ile,72.7,0,0,0.42,99.58,0,0,100,50,40,10
Pie,54.5,0,0,0,100,0,0,100,83.89,8.33,7.78
Bas,81.8,0,0,0,100,0,0,100,55.56,25.93,18.52
San,63.6,0,0,0,100,0,0,100,65.71,6.19,28.1
Ole,63.6,0,0,0,100,0,0,100,61.43,7.14,31.43
Cag,81.8,9.26,0,0.37,90.37,0,9.26,90.74,70.37,29.63,0
Cap,90.9,9.67,0,0.67,89.67,0,9.67,90.33,44.67,54.33,1
,,,,,,,,,,,
,,,,,,,,,,,
Hyb,2500,4,,,,,,,,,
destination,gray,osp_c,osp_f,osp_d,osp_s,dsp_f,dsp_d,dsp_s,gsp_f,gsp_d,gsp_s
Sol,54.5,72.22,0,1.67,26.11,0,73.89,26.11,49.44,50.56,0
Ali,100,40.61,0,0,59.39,1.52,38.79,59.7,59.09,39.7,1.21
Cor,90.9,26.67,0,0.33,73,0.67,26.33,73,65.33,34.67,0
Cala,90.9,27,0,1.33,71.67,0,28.33,71.67,64.33,35.67,0
Calv,90.9,39.67,0,0,60.33,1.33,38.33,60.33,60,40,0
Ile,90.9,21,0,0,79,0,20.67,79.33,56,39.67,4.33
Pie,90.9,19,0,0.67,80.33,0,19.33,80.67,72.67,10.33,17
Bas,90.9,25,0,0.67,74.33,0,25.33,74.67,69.67,18.33,12
San,72.7,11.25,0,0.42,88.33,0,11.67,88.33,85.83,4.17,10
Ole,81.8,12.96,0,0,87.04,0,12.96,87.04,75.19,12.96,11.85
Cag,90.9,46.67,0,0.33,53,0,46.33,53.67,83.33,6.67,10
Cap,90.9,63,0,0,37,3.67,59.33,37,64.33,25.67,10
